TIG_MyParcelBE::Enabled,Geactiveerd
TIG_MyParcelBE::Title,Titel
TIG_MyParcelBE::Method Name,Methode naam
TIG_MyParcelBE::Rate Type,Tarief type
TIG_MyParcelBE::Type,Type
TIG_MyParcelBE::Price,Prijs
TIG_MyParcelBE::PostNL location active,PostNL locatie actief
TIG_MyParcelBE::PostNL location fee,PostNL locatie afhandelingskosten
TIG_MyParcelBE::Condition,Voorwaarde
TIG_MyParcelBE::Calculate Handling Fee,Verzendkosten berekeningswijze
TIG_MyParcelBE::Handling Fee,Afhandelingskosten
TIG_MyParcelBE::Ship to Applicable Countries,Verzend naar beschikbare landen
TIG_MyParcelBE::Ship to Specific Countries,Verzend naar specifieke landen
TIG_MyParcelBE::Sort Order,Sorteer bestelling
TIG_MyParcelBE::Default Shipment Settings,Standaard verzendinstellingen
TIG_MyParcelBE::Home address only,Alleen huisadres
TIG_MyParcelBE::Signature on receipt,Handtekening voor ontvangst
TIG_MyParcelBE::Return if no answer,Retour bij niet aanwezig
TIG_MyParcelBE::Large package,Groot pakket
TIG_MyParcelBE::Insured up to &euro; 500,Verzekerd tot &euro; 500
TIG_MyParcelBE::Automatically next status,Automatisch volgende status
TIG_MyParcelBE::Turn the order automatically to the next status after creating a label,Zet de status van een order automatisch naar de volgende status bij het aanmaken van een label
TIG_MyParcelBE::Customs Shipment Type,Douane verzend type
TIG_MyParcelBE::Customs Content HS Code,Douane goederen HS code
"TIG_MyParcelBE::Default content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>". HS codes can also be connected to categories. The data you enter here will be used as default.,"Standaard goederen type voor Cross Domestic producten, zie <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a> voor de juiste HS code. Maximaal 4 karakters. HS codes kan ook gekoppeld worden per categorie. De gegevens die je hier invoert zal als standaard waarde gebruikt worden."
TIG_MyParcelBE::Edit options,Opties bewerken
"TIG_MyParcelBE::Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually.<br/>These settings will activate based on the order total amount. When shipping outside of the EU you can set default values for customs type and customs goods HS code.","Vul hier uw standaard voorkeuren in voor uw verzendopties. Deze instellingen worden als default op al uw zendingen toegepast, indien van toepassing. Deze opties zijn later, per zending, uiteraard nog wel aan te passen tijdens het verwerken.<br/><br/>Indien u zendingen naar landen buiten de EU verstuurt, kunt u optioneel voor deze zendingen een standaard waarde invullen bij het Douane verzendtype en de Douane goederen HS code. Deze waardes kunt u nog aanpassen wanneer u uw zending verwerkt."
TIG_MyParcelBE::Retourlink e-mail Template,Retourlink e-mail Template
TIG_MyParcelBE::PLACEHOLDER,PLACEHOLDER
TIG_MyParcelBE::Track&amp;Trace email template,Track&amp;Trace e-mail Template
"TIG_MyParcelBE::You can create a new transactional e-mail where the variables {{var tracktrace_url}} and {{var retourlabel_url}} are available. TIP: You can base them on the Order Update template, because {{var order}} is also available.","U kunt een nieuwe transactionele email aanmaken en daarin {{var tracktrace_url}} en {{var retourlabel_url}} gebruiken. Zie voor details de <a target=""_blank"" href=""http://kb.tig.nl/topic/98526863"">KB</a>"
TIG_MyParcelBE::Print Orientation,Print ori&euml;ntatie
TIG_MyParcelBE::Select a standard orientation for printing labels.,Selecteer een standaard print ori&euml;ntatie voor het printen van labels.
TIG_MyParcelBE::Enable test modus,Activeer test modus
TIG_MyParcelBE::Enable to test the extension,Activeer om test verzendingen te kunnen maken
TIG_MyParcelBE::Selecting 'No' will overrule all individual settings.,"Wanneer ""nee"" is geselecteerd worden alle individuele instellingen overruled."
TIG_MyParcelBE::General settings,Algemene instellingen
TIG_MyParcelBE::Basic settings,Basis instellingen
TIG_MyParcelBE::Checkout settings,Checkout instellingen
TIG_MyParcelBE::Cut-off time,Het laatste bestelmoment
"TIG_MyParcelBE::If a request is made for the delivery options between Friday after, and Monday before, cut-off time then Tuesday will be shown as the next possible delivery date.","Als een bestelling tussen vrijdag na, en maandag voor, het opgegeven bestelmoment wordt gedaan dan zal dinsdag worden getoond als eerstvolgende afleverdag."
TIG_MyParcelBE::Numbers of days,Aantal dagen vooruit
TIG_MyParcelBE::day,dag
TIG_MyParcelBE::days,dagen
TIG_MyParcelBE::Hide days,Dagen verbergen
TIG_MyParcelBE::Drop-off days,Verzenddagen
"TIG_MyParcelBE::Monday","Maandag"
TIG_MyParcelBE::Tuesday,Dinsdag
TIG_MyParcelBE::Wednesday,Woensdag
TIG_MyParcelBE::Thursday,Donderdag
TIG_MyParcelBE::Friday,Vrijdag
TIG_MyParcelBE::Saturday,Zaterdag
TIG_MyParcelBE::Saturday delivery,Zaterdagbezorging
TIG_MyParcelBE::Monday delivery cut-off time,Laatste bestelmoment voor maandagbezorging
"TIG_MyParcelBE::If a request is made before this time on Saturday, Monday will be shown as the next possible delivery date. ","Als een bestelling voor dit tijdstip op zaterdag wordt gedaan zal maandag als eerstvolgende afleverdag worden getoond."
TIG_MyParcelBE::Dropoff-delay,Vertraging
"TIG_MyParcelBE::This options allows you to set the number of days it takes you to pick, pack and hand in your parcels at PostNL when ordered before the cutoff time.","Stel hier het aantal dagen in die je nodig hebt om het product (te ontvangen,) te verpakken en aan te bieden bij PostNL, vanaf het moment dat de bestelling is geplaatst."
TIG_MyParcelBE::No delay,Geen vertraging
TIG_MyParcelBE::Base color,Basis kleur
TIG_MyParcelBE::Color for selected items,Kleur voor geselecteerde items
TIG_MyParcelBE::Add style to the checkout,Voeg een css file toe aan de checkout
TIG_MyParcelBE::Font size,Lettertypegrootte
TIG_MyParcelBE::Leave blank to automatically determine the font size,Laat leeg om de lettertypegrootte automatisch te bepalen
TIG_MyParcelBE::Delivery,Bezorging
TIG_MyParcelBE::Delivery title,Bezorging titel
TIG_MyParcelBE::To determine the base price you have to navigate in the menu to <a id=""shipping_method_link"">Shipping Methods</a>.,Om de basisprijs te bepalen moet je navigeren naar <a id=""shipping_method_link"">Verzendmethodes</a>
TIG_MyParcelBE::Deliver the package only at address of the intended recipient,Lever het pakket alleen aan het adres van de beoogde ontvanger.
TIG_MyParcelBE::Home address only title,Alleen huisadres titel
TIG_MyParcelBE::Home address only fee,Alleen huisadres prijs
TIG_MyParcelBE::Signature on receipt title,Handtekening voor ontvangst titel
TIG_MyParcelBE::Signature on receipt fee,Handtekening voor ontvangst prijs
TIG_MyParcelBE::Home address only and signature on receipt together fee,De prijs van handtekening voor ontvangst en alleen huisadres samen
TIG_MyParcelBE::If both have been selected this price will be added to the regular shipping price. Leave empty for not using it.,Als beide geselecteerd zijn zal deze prijs bij de normale verzendkosten worden opgeteld. Laat leeg om dit niet te gebruiken.
TIG_MyParcelBE::Morning delivery,Ochtendlevering
TIG_MyParcelBE::Morning delivery active,Ochtendlevering actief
TIG_MyParcelBE::Morning delivery fee,Ochtendlevering prijs
TIG_MyParcelBE::Evening delivery,Avondlevering
TIG_MyParcelBE::Evening delivery active,Avondlevering actief
TIG_MyParcelBE::Evening delivery fee,Avondlevering prijs
TIG_MyParcelBE::Pickup at PostNL location,Ophalen bij PostNL locatie
TIG_MyParcelBE::Pickup active,Ophalen actief
TIG_MyParcelBE::Pickup title,Ophalen titel
TIG_MyParcelBE::Pickup fee,Ophalen prijs
TIG_MyParcelBE::Pickup Express at PostNL location,Extra vroeg ophalen bij PostNL locatie
TIG_MyParcelBE::Pickup Express active,Extra vroeg ophalen actief
TIG_MyParcelBE::Pickup Express fee,Extra vroeg ophalen prijs
TIG_MyParcelBE::Pickup at Belgium PostNL location,Ophalen bij een Belgische PostNL locatie
TIG_MyParcelBE::Pickup Belgium active,Ophalen België actief
TIG_MyParcelBE::Pickup Belgium title,Ophalen België titel
TIG_MyParcelBE::Pickup Belgium fee,Ophalen België prijs
TIG_MyParcelBE::API Key,API Key,
TIG_MyParcelBE::The API Key given by MyParcel.,Stel hier de API key in die is ontvangen vanuit MyParcel
TIG_MyParcelBE::API Username,API Gebruikersnaam
TIG_MyParcelBE::Your MyParcel username.,Vul hier de gebruikersnaam in voor het MyParcel platform
TIG_MyParcelBE::To get your personal API credentials you should contact MyParcel.,Neem contact op met MyParcel om de API gegevens te ontvangen.
TIG_MyParcelBE::API settings,API Instellingen
TIG_MyParcelBE::"Wrong API key. Go to MyParcel settings to set the API key.","Verkeerde API key. Ga naar de instellingen van de MyParcel plugin om de juiste API key in te vullen."
TIG_MyParcelBE::Version &amp; Support,Versie &amp; Support
TIG_MyParcelBE::The log files cannot be downloaded.,De logbestanden kunnen niet gedownload worden.
TIG_MyParcelBE::An error occurred while processing this action.,Er is een fout opgetreden tijdens het verwerken van deze actie.
TIG_MyParcelBE::The shipments were successfully created.,De verzendingen zijn succesvol aangemaakt
TIG_MyParcelBE::None of the shipments could be created. Please check the error messages for more details.,Geen van de verzendingen konden aangemaakt worden. Controleer de foutmeldingen in de logbestanden voor details.
TIG_MyParcelBE::Please select one or more shipments.,Selecteer &eacute;&eacute;n of meerdere verzendingen.
TIG_MyParcelBE::Please select one or more orders.,Selecteer &eacute;&eacute;n of meerdere orders.
TIG_MyParcelBE::MyParcel replied with the following warnings:,MyParcel heeft geantwoord met de volgende waarschuwingen:
TIG_MyParcelBE::The following shipments or orders could not be processed:,De volgende verzendingen konden niet verwerkt worden:
