TIG_MyParcel2014::Enabled,Geactiveerd
TIG_MyParcel2014::Title,Titel
TIG_MyParcel2014::Method Name,Methode naam
TIG_MyParcel2014::Rate Type,Tarief type
TIG_MyParcel2014::Type,Type
TIG_MyParcel2014::Price,Prijs
TIG_MyParcel2014::PostNL location active,PostNL locatie actief
TIG_MyParcel2014::PostNL location fee,PostNL locatie afhandelingskosten
TIG_MyParcel2014::Condition,Voorwaarde
TIG_MyParcel2014::Calculate Handling Fee,Verzendkosten berekeningswijze
TIG_MyParcel2014::Handling Fee,Afhandelingskosten
TIG_MyParcel2014::Ship to Applicable Countries,Verzend naar beschikbare landen
TIG_MyParcel2014::Ship to Specific Countries,Verzend naar specifieke landen
TIG_MyParcel2014::Sort Order,Sorteer bestelling
TIG_MyParcel2014::Default Shipment Settings,Standaard verzendinstellingen
TIG_MyParcel2014::Home address only,Alleen huisadres
TIG_MyParcel2014::Signature on receipt,Handtekening voor ontvangst
TIG_MyParcel2014::Return if no answer,Retour bij niet aanwezig
TIG_MyParcel2014::Large package,Groot pakket
TIG_MyParcel2014::Insured up to &euro; 50,Verzekerd tot &euro; 50
TIG_MyParcel2014::For NL shipping only,Alleen voor Nederlandse verzendingen
TIG_MyParcel2014::Insured up to &euro; 250,Verzekerd tot &euro; 250
"TIG_MyParcel2014::For NL shipping only, shipments outside the EU insured default is &euro; 200","Alleen voor Nederlandse verzendingen, zendingen naar landen buiten de EU zijn standaard verzekerd tot &euro; 200"
TIG_MyParcel2014::Insured up to &euro; 500,Verzekerd tot &euro; 500
"TIG_MyParcel2014::For NL shipping only, shipments inside the EU insured default is &euro; 500","Alleen voor Nederlandse verzendingen, zendingen naar landen binnen de EU zijn standaard verzekerd tot &euro; 500"
TIG_MyParcel2014::Customs Shipment Type,Douane verzend type
TIG_MyParcel2014::Customs Content HS Code,Douane goederen HS code
"TIG_MyParcel2014::Default content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>". HS codes can also be connected to categories. The data you enter here will be used as default.,"Standaard goederen type voor Cross Domestic producten, zie <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a> voor de juiste HS code. Maximaal 4 karakters. HS codes kan ook gekoppeld worden per categorie. De gegevens die je hier invoert zal als standaard waarde gebruikt worden."
TIG_MyParcel2014::Edit options,Opties bewerken
