TIG_MyParcelBE::Enabled,Enabled
TIG_MyParcelBE::Title,Title
TIG_MyParcelBE::Method Name,Method Name
TIG_MyParcelBE::Rate Type,Rate Type
TIG_MyParcelBE::Type,Type
TIG_MyParcelBE::Price,Price
TIG_MyParcelBE::PostNL location active,PostNL location active
TIG_MyParcelBE::PostNL location fee,PostNL location fee
TIG_MyParcelBE::Condition,Condition
TIG_MyParcelBE::Calculate Handling Fee,Calculate Handling Fee
TIG_MyParcelBE::Handling Fee,Handling Fee
TIG_MyParcelBE::Ship to Applicable Countries,Ship to Applicable Countries
TIG_MyParcelBE::Ship to Specific Countries,Ship to Specific Countries
TIG_MyParcelBE::Sort Order,Sort Order
TIG_MyParcelBE::Default Shipment Settings,Default Shipment Settings
TIG_MyParcelBE::Home address only,Home address only
TIG_MyParcelBE::Signature on receipt,Signature on receipt
TIG_MyParcelBE::Insured up to &euro; 500,Insured up to &euro; 500
"TIG_MyParcelBE::For NL shipping only, shipments inside the EU insured default is &euro; 500","For NL shipping only, shipments inside the EU insured default is &euro; 500"
TIG_MyParcelBE::Customs Shipment Type,Customs Shipment Type
TIG_MyParcelBE::Customs Content HS Code,Customs Content HS Code
"TIG_MyParcelBE::Default content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>. HS codes can also be connected to categories. The data you enter here will be used as default.","Default content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>. HS codes can also be connected to categories. The data you enter here will be used as default."
"TIG_MyParcelBE::Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually.<br/>These settings will activate based on the order total amount. When shipping outside of the EU you can set default values for customs type and customs goods HS code.","Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually.<br/>These settings will activate based on the order total amount. When shipping outside of the EU you can set default values for customs type and customs goods HS code."
TIG_MyParcelBE::Retourlink e-mail Template,Retourlink e-mail Template
TIG_MyParcelBE::PLACEHOLDER,PLACEHOLDER
TIG_MyParcelBE::Track&amp;Trace email template,Track&amp;Trace email template
"TIG_MyParcelBE::You can create a new transactional e-mail where the variables {{var tracktrace_url}} and {{var retourlabel_url}} are available. TIP: You can base them on the Order Update template, because {{var order}} is also available.","You can create a new transactional e-mail where the variables {{var tracktrace_url}} and {{var retourlabel_url}} are available. TIP: You can base them on the Order Update template, because {{var order}} is also available."
TIG_MyParcelBE::Print Orientation,Print Orientation
TIG_MyParcelBE::Select a standard orientation for printing labels.,Select a standard orientation for printing labels.
TIG_MyParcelBE::Enable test modus,Enable test modus
TIG_MyParcelBE::Enable to test the extension,Enable to test the extension
TIG_MyParcelBE::Enable Myparcel Extension,Enable Myparcel Extension
TIG_MyParcelBE::Enable or disable the MyParcel module.,Enable or disable the MyParcel module.
TIG_MyParcelBE::Selecting 'No' will overrule all individual settings.,Selecting 'No' will overrule all individual settings.
TIG_MyParcelBE::General Settings,General Settings
