MyParcel_MyParcelBE::Enabled,Geactiveerd
MyParcel_MyParcelBE::Title,Titel
MyParcel_MyParcelBE::Method Name,Methode naam
MyParcel_MyParcelBE::Rate Type,Tarief type
MyParcel_MyParcelBE::Type,Type
MyParcel_MyParcelBE::Price,Prijs
MyParcel_MyParcelBE::PostNL location active,PostNL locatie actief
MyParcel_MyParcelBE::PostNL location fee,PostNL locatie afhandelingskosten
MyParcel_MyParcelBE::Condition,Voorwaarde
MyParcel_MyParcelBE::Calculate Handling Fee,Verzendkosten berekeningswijze
MyParcel_MyParcelBE::Handling Fee,Afhandelingskosten
MyParcel_MyParcelBE::Ship to Applicable Countries,Verzend naar beschikbare landen
MyParcel_MyParcelBE::Ship to Specific Countries,Verzend naar specifieke landen
MyParcel_MyParcelBE::Sort Order,Sorteer bestelling
MyParcel_MyParcelBE::Default Shipment Settings,Standaard verzendinstellingen
MyParcel_MyParcelBE::Home address only,Alleen huisadres
MyParcel_MyParcelBE::Signature on receipt,Handtekening voor ontvangst
MyParcel_MyParcelBE::Return if no answer,Retour bij niet aanwezig
MyParcel_MyParcelBE::Large package,Groot pakket
MyParcel_MyParcelBE::Insured up to &euro; 50,Verzekerd tot &euro; 50
MyParcel_MyParcelBE::For NL shipping only,Alleen voor Nederlandse verzendingen
MyParcel_MyParcelBE::Insured up to &euro; 250,Verzekerd tot &euro; 250
"MyParcel_MyParcelBE::For NL shipping only, shipments outside the EU insured default is &euro; 200","Alleen voor Nederlandse verzendingen, zendingen naar landen buiten de EU zijn standaard verzekerd tot &euro; 200"
MyParcel_MyParcelBE::Insured up to &euro; 500,Verzekerd tot &euro; 500
"MyParcel_MyParcelBE::For NL shipping only, shipments inside the EU insured default is &euro; 500","Alleen voor Nederlandse verzendingen, zendingen naar landen binnen de EU zijn standaard verzekerd tot &euro; 500"
MyParcel_MyParcelBE::Automatically next status,Automatisch volgende status
MyParcel_MyParcelBE::Turn the order automatically to the next status after creating a label,Zet de status van een order automatisch naar de volgende status bij het aanmaken van een label
MyParcel_MyParcelBE::Customs Shipment Type,Douane verzend type
MyParcel_MyParcelBE::Customs Content HS Code,Douane goederen HS code
"MyParcel_MyParcelBE::Default content type for Cross Domestic products, see <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a>". HS codes can also be connected to categories. The data you enter here will be used as default.,"Standaard goederen type voor Cross Domestic producten, zie <a href=""http://gebruikstarief.douane.nl"" target=""_blank"">http://gebruikstarief.douane.nl</a> voor de juiste HS code. Maximaal 4 karakters. HS codes kan ook gekoppeld worden per categorie. De gegevens die je hier invoert zal als standaard waarde gebruikt worden."
MyParcel_MyParcelBE::Edit options,Opties bewerken
"MyParcel_MyParcelBE::Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually.<br/>These settings will activate based on the order total amount. When shipping outside of the EU you can set default values for customs type and customs goods HS code.","Vul hier uw standaard voorkeuren in voor uw verzendopties. Deze instellingen worden als default op al uw zendingen toegepast, indien van toepassing. Deze opties zijn later, per zending, uiteraard nog wel aan te passen tijdens het verwerken. <br/><br/>De opties ""Alleen huisadres"", ""Handtekening bij ontvangst"", ""Retour bij niet aanwezig"" en de verschillende verzekeringen worden actief op basis van het totale order bedrag. Bijvoorbeeld, als u bij ""alleen huisadres"" 50 invult, dan wordt voor alle zendingen voor orders vanaf &euro; 50 standaard de instelling ""alleen huisadres"" aangevinkt. Of als u bij ""Verzekerd tot &euro; 250,-"" het getal 150 invult, dan worden alle orders vanaf &euro; 150 standaard verzekerd voor &euro; 250,- inkoopwaarde.<br/><br/>Indien u zendingen naar landen buiten de EU verstuurt, kunt u optioneel voor deze zendingen een standaard waarde invullen bij het Douane verzendtype en de Douane goederen HS code. Deze waardes kunt u nog aanpassen wanneer u uw zending verwerkt."
MyParcel_MyParcelBE::Retourlink e-mail Template,Retourlink e-mail Template
MyParcel_MyParcelBE::PLACEHOLDER,PLACEHOLDER
MyParcel_MyParcelBE::Track&amp;Trace email template,Track&amp;Trace e-mail Template
"MyParcel_MyParcelBE::You can create a new transactional e-mail where the variables {{var tracktrace_url}} and {{var retourlabel_url}} are available. TIP: You can base them on the Order Update template, because {{var order}} is also available.","U kunt een nieuwe transactionele email aanmaken en daarin {{var tracktrace_url}} en {{var retourlabel_url}} gebruiken."
MyParcel_MyParcelBE::Print Orientation,Print ori&euml;ntatie
MyParcel_MyParcelBE::Select a standard orientation for printing labels.,Selecteer een standaard print ori&euml;ntatie voor het printen van labels.
MyParcel_MyParcelBE::Enable test modus,Activeer test modus
MyParcel_MyParcelBE::Enable to test the extension,Activeer om test verzendingen te kunnen maken
MyParcel_MyParcelBE::Selecting 'No' will overrule all individual settings.,"Wanneer ""nee"" is geselecteerd worden alle individuele instellingen overruled."
MyParcel_MyParcelBE::General settings,Algemene instellingen
MyParcel_MyParcelBE::Basic settings,Basis instellingen
MyParcel_MyParcelBE::Checkout settings,Checkout instellingen
MyParcel_MyParcelBE::Cut-off time,Het laatste bestelmoment
